Brand;Brand_ID;BrandType
Highlands Coffee;1;Chain
Indepedent Cafe;2;Independent
Milano;3;Independent
Gong Cha;4;Independent
Coffee Bean & Tea Leaf;5;Independent
Phúc Long;6;Chain
The Coffee Factory;7;Independent
Effoc;8;Independent
Maxx Coffee;9;Independent
Saigon Café;10;Independent
KOI cafe;11;Independent
Thức Coffee;12;Independent
Passio;13;Independent
The Coffee House;14;Chain
Other;15;
Urban Station;16;Independent
Starbucks;17;Chain
Street / Half street coffee (including carts);18;Street
Runam cafe;19;Independent
Mộc Miên;20;Independent
Nia cafe;21;Independent
Đen Đá;22;Independent
Aha Cafe;23;Independent
Street;24;Street
Viva Star;25;Independent
Laha Coffee;26;Independent
Cheese Coffee;27;Independent
The Cups Coffee;28;Independent
BonPas;29;Independent
Long Cafe;30;Independent
Mê Trang;31;Independent
Trung Nguyên;32;Chain
Cộng Cà Phê;33;Chain
