ID;Year;Spontaneous;Awareness;Trial;P3M;P1M;Comprehension;Brand_Likability;Weekly;Daily;Fre#visit;PPA;Spending;BH_ID;Brand_ID;City_ID;Segmentation_ID;NPS_ID
345853;2018;0;1;0;0;0;2;0;0;0;;;;1;6;3;;
348403;2018;0;1;0;0;0;2;0;0;0;;;;2;6;3;;
349552;2018;0;1;0;0;0;2;0;0;0;;;;3;6;3;;
349764;2018;0;1;0;0;0;2;0;0;0;;;;4;6;3;;
350072;2018;0;1;0;0;0;2;0;0;0;;;;5;6;3;;
350090;2018;0;1;0;0;0;2;0;0;0;;;;6;6;3;;
350148;2018;0;1;0;0;0;2;0;0;0;;;;7;6;3;;
350491;2018;0;1;0;0;0;2;0;0;0;;;;8;6;3;;
350822;2018;0;1;0;0;0;2;0;0;0;;;;9;6;3;;
351105;2018;0;1;0;0;0;2;0;0;0;;;;10;6;3;;
351106;2018;0;1;0;0;0;2;0;0;0;;;;11;6;3;;
351107;2018;0;1;0;0;0;2;0;0;0;;;;12;6;3;;
351109;2018;0;1;0;0;0;2;0;0;0;;;;13;6;3;;
351110;2018;0;1;0;0;0;2;0;0;0;;;;14;6;3;;
351114;2018;0;1;0;0;0;2;0;0;0;;;;15;6;3;;
351651;2018;0;1;0;0;0;2;0;0;0;;;;16;6;3;;
351905;2018;0;1;0;0;0;2;0;0;0;;;;17;6;3;;
352059;2018;0;1;0;0;0;2;0;0;0;;;;18;6;3;;
352980;2018;0;1;0;0;0;2;0;0;0;;;;19;6;3;;
352984;2018;0;1;0;0;0;2;0;0;0;;;;20;6;3;;
353154;2018;0;1;0;0;0;2;0;0;0;;;;21;6;3;;
353418;2018;0;1;0;0;0;2;0;0;0;;;;22;6;3;;
353618;2018;0;1;0;0;0;2;0;0;0;;;;23;6;3;;
353619;2018;0;1;0;0;0;2;0;0;0;;;;24;6;3;;
353621;2018;0;1;0;0;0;2;0;0;0;;;;25;6;3;;
365681;2018;0;1;0;0;0;2;0;0;0;;;;26;6;3;;
366883;2018;0;1;0;0;0;2;0;0;0;;;;27;6;3;;
366889;2018;0;1;0;0;0;2;0;0;0;;;;28;6;3;;
367353;2018;0;1;0;0;0;2;0;0;0;;;;29;6;3;;
367358;2018;0;1;0;0;0;2;0;0;0;;;;30;6;3;;
367359;2018;0;1;0;0;0;2;0;0;0;;;;31;6;3;;
367363;2018;0;1;0;0;0;2;0;0;0;;;;32;6;3;;
367857;2018;0;1;0;0;0;2;0;0;0;;;;33;6;3;;
367863;2018;0;1;0;0;0;2;0;0;0;;;;34;6;3;;
368351;2018;0;1;0;0;0;2;0;0;0;;;;35;6;3;;
368352;2018;0;1;0;0;0;2;0;0;0;;;;36;6;3;;
368355;2018;0;1;0;0;0;2;0;0;0;;;;37;6;3;;
368410;2018;0;1;0;0;0;2;0;0;0;;;;38;6;3;;
368450;2018;0;1;0;0;0;2;0;0;0;;;;39;6;3;;
368451;2018;0;1;0;0;0;2;0;0;0;;;;40;6;3;;
368654;2018;0;1;0;0;0;2;0;0;0;;;;41;6;3;;
368655;2018;0;1;0;0;0;2;0;0;0;;;;42;6;3;;
368657;2018;0;1;0;0;0;2;0;0;0;;;;43;6;3;;
368658;2018;0;1;0;0;0;2;0;0;0;;;;44;6;3;;
368660;2018;0;1;0;0;0;2;0;0;0;;;;45;6;3;;
368661;2018;0;1;0;0;0;2;0;0;0;;;;46;6;3;;
368681;2018;0;1;0;0;0;2;0;0;0;;;;47;6;3;;
369140;2018;0;1;0;0;0;2;0;0;0;;;;48;6;3;;
369141;2018;0;1;0;0;0;2;0;0;0;;;;49;6;3;;
369143;2018;0;1;0;0;0;2;0;0;0;;;;50;6;3;;
369436;2018;0;1;0;0;0;2;0;0;0;;;;51;6;3;;
369514;2018;0;1;0;0;0;2;0;0;0;;;;52;6;3;;
370457;2018;0;1;0;0;0;2;0;0;0;;;;53;6;3;;
370459;2018;0;1;0;0;0;2;0;0;0;;;;54;6;3;;
370790;2018;0;1;0;0;0;2;0;0;0;;;;55;6;3;;
370866;2018;0;1;0;0;0;2;0;0;0;;;;56;6;3;;
370953;2018;0;1;0;0;0;2;0;0;0;;;;57;6;3;;
370954;2018;0;1;0;0;0;2;0;0;0;;;;58;6;3;;
370999;2018;0;1;0;0;0;2;0;0;0;;;;59;6;3;;
371058;2018;0;1;0;0;0;2;0;0;0;;;;60;6;3;;
371059;2018;0;1;0;0;0;2;0;0;0;;;;61;6;3;;
371060;2018;0;1;0;0;0;2;0;0;0;;;;62;6;3;;
371062;2018;0;1;0;0;0;2;0;0;0;;;;63;6;3;;
371064;2018;0;1;0;0;0;2;0;0;0;;;;64;6;3;;
371066;2018;0;1;0;0;0;2;0;0;0;;;;65;6;3;;
371067;2018;0;1;0;0;0;2;0;0;0;;;;66;6;3;;
371497;2018;0;1;0;0;0;2;0;0;0;;;;67;6;3;;
371498;2018;0;1;0;0;0;2;0;0;0;;;;68;6;3;;
371499;2018;0;1;0;0;0;2;0;0;0;;;;69;6;3;;
371503;2018;0;1;0;0;0;2;0;0;0;;;;70;6;3;;
372165;2018;0;1;0;0;0;2;0;0;0;;;;71;6;3;;
372557;2018;0;1;0;0;0;2;0;0;0;;;;72;6;3;;
373248;2018;0;1;0;0;0;2;0;0;0;;;;73;6;3;;
374278;2018;0;1;0;0;0;2;0;0;0;;;;74;6;3;;
374279;2018;0;1;0;0;0;2;0;0;0;;;;75;6;3;;
374364;2018;0;1;0;0;0;2;0;0;0;;;;76;6;3;;
374365;2018;0;1;0;0;0;2;0;0;0;;;;77;6;3;;
377786;2018;0;1;0;0;0;2;0;0;0;;;;78;6;3;;
378382;2018;0;1;0;0;0;2;0;0;0;;;;79;6;3;;
378613;2018;0;1;0;0;0;2;0;0;0;;;;80;6;3;;
379371;2018;0;1;0;0;0;2;0;0;0;;;;81;6;3;;
380837;2018;0;1;0;0;0;2;0;0;0;;;;82;6;3;;
380839;2018;0;1;0;0;0;2;0;0;0;;;;83;6;3;;
382177;2018;0;1;0;0;0;2;0;0;0;;;;84;6;3;;
382972;2018;0;1;0;0;0;2;0;0;0;;;;85;6;3;;
383557;2018;0;1;0;0;0;2;0;0;0;;;;86;6;3;;
