No#;Year;StoreCount;City_ID;Brand_ID
6;2017;1;5;33
9;2017;1;7;33
10;2017;1;6;33
11;2017;1;8;33
12;2017;1;9;33
13;2017;1;10;33
26;2017;1;11;1
28;2017;1;12;1
32;2017;1;8;1
34;2017;1;13;1
41;2017;1;4;6
50;2017;1;5;17
58;2017;1;14;14
68;2017;1;15;14
71;2017;1;4;32
72;2017;1;16;32
77;2017;1;7;32
82;2018;1;17;33
84;2018;1;5;33
86;2018;1;18;33
87;2018;1;7;33
88;2018;1;6;33
89;2018;1;8;33
90;2018;1;9;33
92;2018;1;19;33
94;2018;1;20;33
96;2018;1;21;1
104;2018;1;11;1
105;2018;1;22;1
106;2018;1;12;1
109;2018;1;23;1
112;2018;1;13;1
115;2018;1;24;1
124;2018;1;6;6
126;2018;1;4;17
128;2018;1;5;17
132;2018;1;25;14
133;2018;1;1;14
140;2018;1;11;14
143;2018;1;26;14
144;2018;1;20;14
145;2018;1;24;14
149;2018;1;4;32
150;2018;1;16;32
151;2018;1;27;32
155;2018;1;7;32
157;2019;1;28;33
160;2019;1;17;33
164;2019;1;18;33
165;2019;1;7;33
166;2019;1;6;33
167;2019;1;8;33
168;2019;1;9;33
170;2019;1;19;33
171;2019;1;26;33
172;2019;1;20;33
182;2019;1;11;1
183;2019;1;22;1
184;2019;1;12;1
187;2019;1;23;1
190;2019;1;13;1
193;2019;1;24;1
196;2019;1;1;6
198;2019;1;14;6
202;2019;1;6;6
210;2019;1;25;14
218;2019;1;11;14
220;2019;1;6;14
221;2019;1;26;14
223;2019;1;24;14
227;2019;1;4;32
228;2019;1;16;32
229;2019;1;27;32
233;2019;1;7;32
1;2017;0;28;33
2;2017;0;1;33
3;2017;2;4;33
4;2017;0;17;33
5;2017;26;2;33
7;2017;8;3;33
8;2017;0;18;33
14;2017;0;19;33
15;2017;0;26;33
16;2017;0;20;33
17;2017;2;28;1
18;2017;0;21;1
19;2017;7;25;1
20;2017;4;1;1
21;2017;15;4;1
22;2017;9;14;1
23;2017;57;2;1
24;2017;9;5;1
25;2017;85;3;1
27;2017;0;22;1
29;2017;3;29;1
30;2017;5;6;1
31;2017;0;23;1
33;2017;3;9;1
35;2017;3;26;1
36;2017;2;20;1
37;2017;0;24;1
38;2017;5;15;1
39;2017;2;25;6
40;2017;0;1;6
42;2017;0;14;6
43;2017;0;2;6
44;2017;0;5;6
45;2017;25;3;6
46;2017;0;6;6
47;2017;0;1;17
48;2017;0;4;17
49;2017;9;2;17
51;2017;21;3;17
52;2017;0;6;17
53;2017;0;28;14
54;2017;0;25;14
55;2017;0;1;14
56;2017;5;4;14
57;2017;0;16;14
59;2017;11;2;14
60;2017;0;5;14
61;2017;55;3;14
62;2017;0;11;14
63;2017;0;29;14
64;2017;0;6;14
65;2017;0;26;14
66;2017;0;20;14
67;2017;0;24;14
69;2017;2;25;32
70;2017;4;1;32
73;2017;0;27;32
74;2017;6;2;32
75;2017;0;5;32
76;2017;33;3;32
78;2017;2;6;32
79;2018;0;28;33
80;2018;0;1;33
81;2018;2;4;33
83;2018;32;2;33
85;2018;12;3;33
91;2018;2;10;33
93;2018;0;26;33
95;2018;4;28;1
97;2018;11;25;1
98;2018;5;1;1
99;2018;19;4;1
100;2018;10;14;1
101;2018;75;2;1
102;2018;13;5;1
103;2018;104;3;1
107;2018;3;29;1
108;2018;9;6;1
110;2018;2;8;1
111;2018;3;9;1
113;2018;4;26;1
114;2018;5;20;1
116;2018;5;15;1
117;2018;2;25;6
118;2018;0;1;6
119;2018;2;4;6
120;2018;0;14;6
121;2018;0;2;6
122;2018;0;5;6
123;2018;36;3;6
125;2018;0;1;17
127;2018;15;2;17
129;2018;28;3;17
130;2018;0;6;17
131;2018;2;28;14
134;2018;9;4;14
135;2018;2;16;14
136;2018;2;14;14
137;2018;24;2;14
138;2018;4;5;14
139;2018;79;3;14
141;2018;3;29;14
142;2018;0;6;14
146;2018;3;15;14
147;2018;2;25;32
148;2018;4;1;32
152;2018;8;2;32
153;2018;0;5;32
154;2018;42;3;32
156;2018;3;6;32
158;2019;0;1;33
159;2019;2;4;33
161;2019;32;2;33
162;2019;2;5;33
163;2019;14;3;33
169;2019;3;10;33
173;2019;4;28;1
174;2019;2;21;1
175;2019;11;25;1
176;2019;5;1;1
177;2019;20;4;1
178;2019;11;14;1
179;2019;84;2;1
180;2019;14;5;1
181;2019;113;3;1
185;2019;4;29;1
186;2019;10;6;1
188;2019;2;8;1
189;2019;4;9;1
191;2019;4;26;1
192;2019;5;20;1
194;2019;6;15;1
195;2019;2;25;6
197;2019;2;4;6
199;2019;3;2;6
200;2019;0;5;6
201;2019;39;3;6
203;2019;0;1;17
204;2019;3;4;17
205;2019;18;2;17
206;2019;2;5;17
207;2019;33;3;17
208;2019;0;6;17
209;2019;2;28;14
211;2019;3;1;14
212;2019;9;4;14
213;2019;2;16;14
214;2019;2;14;14
215;2019;28;2;14
216;2019;4;5;14
217;2019;84;3;14
219;2019;3;29;14
222;2019;2;20;14
224;2019;3;15;14
225;2019;2;25;32
226;2019;4;1;32
230;2019;8;2;32
231;2019;0;5;32
232;2019;43;3;32
234;2019;3;6;32
